index,costs
2023-07-04 00:00:00,0.00013495
2023-07-04 00:15:00,8.009e-05
2023-07-04 00:30:00,6.008e-05
2023-07-04 00:45:00,4.5079999999999995e-05
2023-07-04 01:00:00,0.00013378
2023-07-04 01:15:00,7.509e-05
2023-07-04 01:30:00,5.009e-05
2023-07-04 01:45:00,3.0079999999999997e-05
2023-07-04 02:00:00,8.138e-05
2023-07-04 02:15:00,5.009e-05
2023-07-04 02:30:00,6.23e-05
2023-07-04 02:45:00,5.5100000000000004e-05
2023-07-04 03:00:00,7.704000000000001e-05
2023-07-04 03:15:00,5.01e-05
2023-07-04 03:30:00,5.01e-05
2023-07-04 03:45:00,7.99e-05
2023-07-04 04:00:00,4.6590000000000006e-05
2023-07-04 04:15:00,5.009e-05
2023-07-04 04:30:00,7.19e-05
2023-07-04 04:45:00,9.493e-05
2023-07-04 05:00:00,2.019e-05
2023-07-04 05:15:00,5.005e-05
2023-07-04 05:30:00,9.992e-05
2023-07-04 05:45:00,0.00013494
2023-07-04 06:00:00,5.507e-05
2023-07-04 06:15:00,8.541e-05
2023-07-04 06:30:00,0.00012491
2023-07-04 06:45:00,0.00013491
2023-07-04 07:00:00,0.0001399
2023-07-04 07:15:00,0.00011703
2023-07-04 07:30:00,0.00011476
2023-07-04 07:45:00,0.00010991
2023-07-04 08:00:00,0.00017138
2023-07-04 08:15:00,0.00014031
2023-07-04 08:30:00,8.991e-05
2023-07-04 08:45:00,4.9909999999999995e-05
2023-07-04 09:00:00,0.0001549
2023-07-04 09:15:00,9.99e-05
2023-07-04 09:30:00,3.4320000000000003e-05
2023-07-04 09:45:00,2.491e-05
2023-07-04 10:00:00,9.991e-05
2023-07-04 10:15:00,6.99e-05
2023-07-04 10:30:00,1.048e-05
2023-07-04 10:45:00,-4.9100000000000004e-06
2023-07-04 11:00:00,3.1190000000000005e-05
2023-07-04 11:15:00,3.0089999999999998e-05
2023-07-04 11:30:00,1.509e-05
2023-07-04 11:45:00,1.389e-05
2023-07-04 12:00:00,2.0059999999999998e-05
2023-07-04 12:15:00,1.007e-05
2023-07-04 12:30:00,5.92e-06
2023-07-04 12:45:00,2.45e-05
2023-07-04 13:00:00,1.682e-05
2023-07-04 13:15:00,5.0800000000000005e-06
2023-07-04 13:30:00,1.005e-05
2023-07-04 13:45:00,2.0039999999999998e-05
2023-07-04 14:00:00,-4.929999999999999e-06
2023-07-04 14:15:00,-9.93e-06
2023-07-04 14:30:00,1.51e-05
2023-07-04 14:45:00,6.426000000000001e-05
2023-07-04 15:00:00,-1.492e-05
2023-07-04 15:15:00,4.6e-06
2023-07-04 15:30:00,5.3700000000000004e-05
2023-07-04 15:45:00,0.0001099
2023-07-04 16:00:00,-1.324e-05
2023-07-04 16:15:00,4.49e-05
2023-07-04 16:30:00,6.864000000000001e-05
2023-07-04 16:45:00,0.0001599
2023-07-04 17:00:00,-9.91e-06
2023-07-04 17:15:00,5.282e-05
2023-07-04 17:30:00,0.00012991
2023-07-04 17:45:00,0.00018991
2023-07-04 18:00:00,6.26e-05
2023-07-04 18:15:00,7.51e-05
2023-07-04 18:30:00,0.00012009999999999999
2023-07-04 18:45:00,0.00019575999999999998
2023-07-04 19:00:00,0.00011993000000000001
2023-07-04 19:15:00,0.00011009
2023-07-04 19:30:00,0.00013009
2023-07-04 19:45:00,0.00017989
2023-07-04 20:00:00,0.00017401
2023-07-04 20:15:00,0.00015992
2023-07-04 20:30:00,0.00013422
2023-07-04 20:45:00,0.00015833
2023-07-04 21:00:00,0.00016997
2023-07-04 21:15:00,0.00016495
2023-07-04 21:30:00,0.00015993
2023-07-04 21:45:00,0.00015448
2023-07-04 22:00:00,0.00019497999999999998
2023-07-04 22:15:00,0.00015994
2023-07-04 22:30:00,0.00014061000000000002
2023-07-04 22:45:00,0.00010008
2023-07-04 23:00:00,0.00016996
2023-07-04 23:15:00,0.00014991999999999997
2023-07-04 23:30:00,0.00012362
2023-07-04 23:45:00,8.507999999999999e-05
2023-07-05 00:00:00,0.00015991
2023-07-05 00:15:00,0.00012097
2023-07-05 00:30:00,9.01e-05
2023-07-05 00:45:00,7.509e-05
2023-07-05 01:00:00,0.0001599
2023-07-05 01:15:00,9.959e-05
2023-07-05 01:30:00,8.009e-05
2023-07-05 01:45:00,6.509e-05
2023-07-05 02:00:00,0.00010529
2023-07-05 02:15:00,8.506e-05
2023-07-05 02:30:00,8.426000000000001e-05
2023-07-05 02:45:00,7.006e-05
2023-07-05 03:00:00,0.00011925
2023-07-05 03:15:00,8.005e-05
2023-07-05 03:30:00,7.007e-05
2023-07-05 03:45:00,5.549e-05
2023-07-05 04:00:00,8.007e-05
2023-07-05 04:15:00,7.507e-05
2023-07-05 04:30:00,7.007999999999999e-05
2023-07-05 04:45:00,7.003e-05
2023-07-05 05:00:00,4.0039999999999996e-05
2023-07-05 05:15:00,7e-05
2023-07-05 05:30:00,8.009e-05
2023-07-05 05:45:00,0.00014315
2023-07-05 06:00:00,7.505e-05
2023-07-05 06:15:00,8.507e-05
2023-07-05 06:30:00,9.508e-05
2023-07-05 06:45:00,0.00010153
2023-07-05 07:00:00,0.00011509
2023-07-05 07:15:00,0.00010509
2023-07-05 07:30:00,0.00010254
2023-07-05 07:45:00,9.342e-05
2023-07-05 08:00:00,0.00016077000000000002
2023-07-05 08:15:00,0.00010508
2023-07-05 08:30:00,7.51e-05
2023-07-05 08:45:00,5.009e-05
2023-07-05 09:00:00,0.00012579
2023-07-05 09:15:00,8.51e-05
2023-07-05 09:30:00,5.01e-05
2023-07-05 09:45:00,5.49e-05
2023-07-05 10:00:00,0.00012309999999999998
2023-07-05 10:15:00,6.009e-05
2023-07-05 10:30:00,3.0089999999999998e-05
2023-07-05 10:45:00,8e-08
2023-07-05 11:00:00,7.501e-05
2023-07-05 11:15:00,3.8299999999999996e-05
2023-07-05 11:30:00,6.730000000000001e-06
2023-07-05 11:45:00,-1e-05
2023-07-05 12:00:00,3.677e-05
2023-07-05 12:15:00,2.2e-07
2023-07-05 12:30:00,-1.696e-05
2023-07-05 12:45:00,-3.382e-05
2023-07-05 13:00:00,3.5e-05
2023-07-05 13:15:00,-4.929999999999999e-06
2023-07-05 13:30:00,-2.4920000000000002e-05
2023-07-05 13:45:00,-8.064e-05
2023-07-05 14:00:00,-1.9960000000000002e-05
2023-07-05 14:15:00,-2.496e-05
2023-07-05 14:30:00,-4.52e-05
2023-07-05 14:45:00,-8.939999999999999e-06
2023-07-05 15:00:00,-4.996e-05
2023-07-05 15:15:00,-2.998e-05
2023-07-05 15:30:00,0.0
2023-07-05 15:45:00,3.1140000000000003e-05
2023-07-05 16:00:00,-4.999e-05
2023-07-05 16:15:00,-1.5e-05
2023-07-05 16:30:00,-8.3e-06
2023-07-05 16:45:00,6.68e-05
2023-07-05 17:00:00,-8.131e-05
2023-07-05 17:15:00,-1.1e-07
2023-07-05 17:30:00,5.501e-05
2023-07-05 17:45:00,9.331e-05
2023-07-05 18:00:00,-4.97e-06
2023-07-05 18:15:00,2.6e-05
2023-07-05 18:30:00,0.00010001
2023-07-05 18:45:00,0.00016503
2023-07-05 19:00:00,4.9909999999999995e-05
2023-07-05 19:15:00,8.142e-05
2023-07-05 19:30:00,0.00011
2023-07-05 19:45:00,0.00020491
2023-07-05 20:00:00,0.00010393
2023-07-05 20:15:00,0.00012506
2023-07-05 20:30:00,0.00013501
2023-07-05 20:45:00,0.00015003
2023-07-05 21:00:00,0.00013933
2023-07-05 21:15:00,0.00013003
2023-07-05 21:30:00,0.00013000999999999998
2023-07-05 21:45:00,0.00012502
2023-07-05 22:00:00,0.00016999000000000002
2023-07-05 22:15:00,0.00015946
2023-07-05 22:30:00,0.00011504999999999999
2023-07-05 22:45:00,0.00010504000000000001
2023-07-05 23:00:00,0.00015993
2023-07-05 23:15:00,0.000119
2023-07-05 23:30:00,0.00010509
2023-07-05 23:45:00,9.006e-05
2023-07-06 00:00:00,0.00011991
2023-07-06 00:15:00,0.0001149
2023-07-06 00:30:00,8.594e-05
2023-07-06 00:45:00,7.507e-05
2023-07-06 01:00:00,0.00011491
2023-07-06 01:15:00,9.787000000000001e-05
2023-07-06 01:30:00,9.107e-05
2023-07-06 01:45:00,6.51e-05
2023-07-06 02:00:00,0.00010991
2023-07-06 02:15:00,9.8e-05
2023-07-06 02:30:00,7.831e-05
2023-07-06 02:45:00,6.51e-05
2023-07-06 03:00:00,9.49e-05
2023-07-06 03:15:00,8.772e-05
2023-07-06 03:30:00,7.01e-05
2023-07-06 03:45:00,9.405e-05
2023-07-06 04:00:00,6.008e-05
2023-07-06 04:15:00,6.509e-05
2023-07-06 04:30:00,9.959e-05
2023-07-06 04:45:00,0.00011993000000000001
2023-07-06 05:00:00,3.505e-05
2023-07-06 05:15:00,7.003e-05
2023-07-06 05:30:00,0.00012198999999999999
2023-07-06 05:45:00,0.0001583
2023-07-06 06:00:00,7.507e-05
2023-07-06 06:15:00,9.009e-05
2023-07-06 06:30:00,0.00012663
2023-07-06 06:45:00,0.0001596
