,time_req,step_req,time_dep,step_dep,time_active,time_idle,time_rental,steps_rental,time_return,step_return,time_recharge,time_blocked,steps_blocked,time_reavail,step_reavail,energy_avail,energy_req,soc_return,primary_commodity,secondary_commodity,process_obj,status,usecase_idx,usecase_name,num_resources,energy_req_pc
0,2018-01-01 09:15:00+01:00,37,2018-01-01 09:15:00+01:00,37,0 days 10:48:00,0 days 01:56:56.759029825,0 days 12:44:56.759029825,51,2018-01-01 22:00:00+01:00,88,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-02 00:00:00+01:00,96,9000.0,8100.0,0.1,"['brs7', 'brs8', 'brs9']",,<commodity_des.RentalProcess object at 0x285c7ef10>,sucess,6,milling,3,2700.0
1,2018-01-01 09:15:00+01:00,37,2018-01-01 09:15:00+01:00,37,0 days 05:31:55.532263148,0 days 02:24:02.284578471,0 days 07:55:57.816841619,32,2018-01-01 17:15:00+01:00,69,0 days 01:47:43.813102952,0 days 01:47:43.813102952,8,2018-01-01 19:15:00+01:00,77,12000.0,10234.37074634055,0.1471357711382875,"['brs3', 'brs4', 'brs5', 'brs6']",,<commodity_des.RentalProcess object at 0x285c7f690>,sucess,7,cocoa,4,2558.5926865851375
2,2018-01-01 10:15:00+01:00,41,2018-01-01 10:15:00+01:00,41,0 days 04:09:13.846153845,0 days 02:49:46.911862236,0 days 06:59:00.758016081,28,2018-01-01 17:15:00+01:00,69,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-01 19:15:00+01:00,77,3000.0,2700.0,0.1,['brs2'],,<commodity_des.RentalProcess object at 0x285c7e850>,sucess,8,powertool,1,2700.0
3,2018-01-01 11:15:00+01:00,45,2018-01-01 11:15:00+01:00,45,0 days 05:53:29.906434114,0 days 01:35:12.021870649,0 days 07:28:41.928304763,30,2018-01-01 18:45:00+01:00,75,0 days 01:39:13.657946418,0 days 01:39:13.657946418,7,2018-01-01 20:30:00+01:00,82,3000.0,2356.65627045722,0.21444790984759318,['brs1'],,<commodity_des.RentalProcess object at 0x285c7eb50>,sucess,9,welding,1,2356.65627045722
4,2018-01-01 13:00:00+01:00,52,2018-01-01 13:00:00+01:00,52,9 days 12:55:42.243606584,0 days 01:44:01.413665322,9 days 14:39:43.657271906,923,2018-01-11 03:45:00+01:00,975,0 days 01:36:23.454341100,0 days 01:36:23.454341100,7,2018-01-11 05:30:00+01:00,982,3000.0,2289.284010018295,0.23690532999390182,['brs0'],,<commodity_des.RentalProcess object at 0x285c7f2d0>,sucess,11,household,1,2289.284010018295
5,2018-01-01 15:30:00+01:00,62,,,0 days 12:51:25.714285714,0 days 01:48:17.613662792,0 days 14:39:43.327948506,59,,,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,,,6000.0,5400.0,0.1,,,<commodity_des.RentalProcess object at 0x285c7e6d0>,failure - primary,0,lighting_construction,2,2700.0
6,2018-01-02 07:30:00+01:00,126,2018-01-02 07:30:00+01:00,126,0 days 10:48:00,0 days 00:48:36.123754824,0 days 11:36:36.123754824,47,2018-01-02 19:15:00+01:00,173,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-02 21:15:00+01:00,181,9000.0,8100.0,0.1,"['brs7', 'brs8', 'brs9']",,<commodity_des.RentalProcess object at 0x285f00d50>,sucess,6,milling,3,2700.0
7,2018-01-02 08:30:00+01:00,130,2018-01-02 08:30:00+01:00,130,0 days 10:48:00,0 days 01:50:15.011590837,0 days 12:38:15.011590837,51,2018-01-02 21:15:00+01:00,181,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-02 23:15:00+01:00,189,9000.0,8100.0,0.1,"['brs6', 'brs2', 'brs1']",,<commodity_des.RentalProcess object at 0x285f01890>,sucess,6,milling,3,2700.0
8,2018-01-02 08:45:00+01:00,131,2018-01-02 08:45:00+01:00,131,0 days 03:36:31.997667322,0 days 01:16:15.073806720,0 days 04:52:47.071474042,20,2018-01-02 13:45:00+01:00,151,0 days 01:38:46.174374567,0 days 01:38:46.174374567,7,2018-01-02 15:30:00+01:00,158,3000.0,2345.777356599971,0.21807421446667624,['brs5'],,<commodity_des.RentalProcess object at 0x285f005d0>,sucess,8,powertool,1,2345.777356599971
9,2018-01-02 12:15:00+01:00,145,2018-01-02 12:15:00+01:00,145,0 days 02:15:42.662716117,0 days 01:13:21.508148467,0 days 03:29:04.170864584,14,2018-01-02 15:45:00+01:00,159,0 days 01:44:45.564201916,0 days 01:44:45.564201916,7,2018-01-02 17:30:00+01:00,166,3000.0,2488.0358299249597,0.17065472335834675,['brs4'],,<commodity_des.RentalProcess object at 0x285c7fa50>,sucess,5,evbs_fire,1,2488.0358299249597
10,2018-01-02 16:45:00+01:00,163,2018-01-02 16:45:00+01:00,163,0 days 12:51:25.714285714,0 days 00:46:49.753847193,0 days 13:38:15.468132907,55,2018-01-03 06:30:00+01:00,218,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-03 08:30:00+01:00,226,6000.0,5400.0,0.1,"['brs3', 'brs5']",,<commodity_des.RentalProcess object at 0x285f014d0>,sucess,0,lighting_construction,2,2700.0
11,2018-01-02 17:30:00+01:00,166,,,0 days 09:52:28.890130317,0 days 01:38:31.056040809,0 days 11:30:59.946171126,47,,,0 days 01:53:30.418951282,0 days 01:53:30.418951282,8,,,12000.0,10783.163339529485,0.1014030550392096,,,<commodity_des.RentalProcess object at 0x285c7fe10>,failure - primary,12,boat_fishing,4,2695.790834882371
12,2018-01-02 18:30:00+01:00,170,,,0 days 09:50:06.600267391,0 days 01:34:49.573246188,0 days 11:24:56.173513579,46,,,0 days 01:53:03.159209122,0 days 01:53:03.159209122,8,,,12000.0,10740.002081108812,0.10499982657426561,,,<commodity_des.RentalProcess object at 0x285f00990>,failure - primary,12,boat_fishing,4,2685.000520277203
13,2018-01-02 20:00:00+01:00,176,,,0 days 12:45:45.998087677,0 days 02:21:40.280188194,0 days 15:07:26.278275871,61,,,0 days 01:52:50.989191870,0 days 01:52:50.989191870,8,,,6000.0,5360.36644356242,0.10660559273959666,,,<commodity_des.RentalProcess object at 0x285f00210>,failure - primary,0,lighting_construction,2,2680.18322178121
14,2018-01-02 20:15:00+01:00,177,,,1 days 07:27:37.528894317,0 days 02:30:16.885798210,1 days 09:57:54.414692527,136,,,0 days 01:51:16.233282190,0 days 01:51:16.233282190,8,,,3000.0,2642.6756742007506,0.1191081085997498,,,<commodity_des.RentalProcess object at 0x285f01110>,failure - primary,1,lighting_search,1,2642.6756742007506
15,2018-01-03 07:45:00+01:00,223,2018-01-03 07:45:00+01:00,223,0 days 04:02:10.946290056,0 days 01:12:22.108977658,0 days 05:14:33.055267714,21,2018-01-03 13:00:00+01:00,244,0 days 01:50:28.150939323,0 days 01:50:28.150939323,8,2018-01-03 15:00:00+01:00,252,3000.0,2623.6430801491797,0.12545230661694007,['brs1'],,<commodity_des.RentalProcess object at 0x285f023d0>,sucess,8,powertool,1,2623.6430801491797
16,2018-01-03 08:00:00+01:00,224,2018-01-03 08:00:00+01:00,224,0 days 05:50:16.216216216,0 days 00:49:25.492113444,0 days 06:39:41.708329660,27,2018-01-03 14:45:00+01:00,251,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-03 16:45:00+01:00,259,12000.0,10800.0,0.1,"['brs8', 'brs9', 'brs6', 'brs2']",,<commodity_des.RentalProcess object at 0x285f02f10>,sucess,7,cocoa,4,2700.0
17,2018-01-03 08:30:00+01:00,226,2018-01-03 08:30:00+01:00,226,0 days 05:50:16.216216216,0 days 01:28:37.412954493,0 days 07:18:53.629170709,30,2018-01-03 16:00:00+01:00,256,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-03 18:00:00+01:00,264,12000.0,10800.0,0.1,"['brs4', 'brs7', 'brs3', 'brs5']",,<commodity_des.RentalProcess object at 0x285f01c50>,sucess,7,cocoa,4,2700.0
18,2018-01-03 09:00:00+01:00,228,,,0 days 22:15:57.002594104,0 days 01:57:07.887381141,1 days 00:13:04.889975245,97,,,0 days 01:43:07.558094982,0 days 01:43:07.558094982,7,,,3000.0,2449.241745930966,0.18358608468967808,,,<commodity_des.RentalProcess object at 0x285f032d0>,failure - primary,4,evbs_water,1,2449.241745930966
19,2018-01-03 09:15:00+01:00,229,,,0 days 06:31:53.419355684,0 days 02:04:31.275595815,0 days 08:36:24.694951499,35,,,0 days 01:50:00.258064753,0 days 01:50:00.258064753,8,,,3000.0,2612.6021506316556,0.1291326164561148,,,<commodity_des.RentalProcess object at 0x285f02790>,failure - primary,9,welding,1,2612.6021506316556
20,2018-01-03 10:15:00+01:00,233,,,0 days 04:09:13.846153845,0 days 01:42:57.476291094,0 days 05:52:11.322444939,24,,,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,,,3000.0,2700.0,0.1,,,<commodity_des.RentalProcess object at 0x285f02b50>,failure - primary,8,powertool,1,2700.0
21,2018-01-03 13:30:00+01:00,246,,,10 days 02:14:39.516312998,0 days 01:04:15.273169842,10 days 03:18:54.789482840,974,,,0 days 01:41:59.856254829,0 days 01:41:59.856254829,7,,,3000.0,2422.443100869444,0.19251896637685192,,,<commodity_des.RentalProcess object at 0x285f02010>,failure - primary,11,household,1,2422.443100869444
22,2018-01-03 17:00:00+01:00,260,2018-01-03 17:00:00+01:00,260,0 days 03:28:55.322149886,0 days 01:09:50.846179575,0 days 04:38:46.168329461,19,2018-01-03 21:45:00+01:00,279,0 days 02:16:18.766083003,0 days 02:16:18.766083003,10,2018-01-04 00:15:00+01:00,289,28050.0,2374.1140435389825,0.20862865215367254,['brs2'],['bev2'],<commodity_des.RentalProcess object at 0x285482510>,sucess,-1,rex_bev,1,2374.1140435389825
23,2018-01-04 06:00:00+01:00,312,2018-01-04 06:00:00+01:00,312,0 days 04:43:32.967161659,0 days 01:58:11.141282028,0 days 06:41:44.108443687,27,2018-01-04 12:45:00+01:00,339,0 days 02:25:21.616795110,0 days 02:25:21.616795110,10,2018-01-04 15:15:00+01:00,349,35700.0,10126.766167654889,0.15610281936209258,"['brs7', 'brs3', 'brs5', 'brs2']",['bev4'],<commodity_des.RentalProcess object at 0x285482c90>,sucess,-1,rex_bev,4,2531.691541913722
24,2018-01-04 07:00:00+01:00,316,2018-01-04 07:00:00+01:00,316,0 days 04:09:13.846153845,0 days 01:37:44.239878462,0 days 05:46:58.086032307,24,2018-01-04 13:00:00+01:00,340,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-04 15:00:00+01:00,348,3000.0,2700.0,0.1,['brs4'],,<commodity_des.RentalProcess object at 0x285f03690>,sucess,8,powertool,1,2700.0
25,2018-01-04 07:00:00+01:00,316,2018-01-04 07:00:00+01:00,316,0 days 10:48:00,0 days 01:37:47.842797190,0 days 12:25:47.842797190,50,2018-01-04 19:30:00+01:00,366,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-04 21:30:00+01:00,374,9000.0,8100.0,0.1,"['brs8', 'brs9', 'brs6']",,<commodity_des.RentalProcess object at 0x285f0cd50>,sucess,6,milling,3,2700.0
26,2018-01-04 08:00:00+01:00,320,2018-01-04 08:00:00+01:00,320,0 days 21:51:00.983381130,0 days 01:21:30.963929868,0 days 23:12:31.947310998,93,2018-01-05 07:15:00+01:00,413,0 days 01:09:00.051756901,0 days 01:09:00.051756901,5,2018-01-05 08:30:00+01:00,418,3000.0,1638.7704871068872,0.45374317096437095,['brs1'],,<commodity_des.RentalProcess object at 0x285f0c5d0>,sucess,3,cooling_food,1,1638.7704871068872
27,2018-01-04 08:15:00+01:00,321,,,1 days 09:05:26.898176331,0 days 01:30:54.985209397,1 days 10:36:21.883385728,139,,,0 days 01:45:53.434569405,0 days 01:45:53.434569405,8,,,3000.0,2514.9011837225726,0.16169960542580922,,,<commodity_des.RentalProcess object at 0x285f0c990>,failure - primary,2,cooling_medical,1,2514.9011837225726
28,2018-01-04 12:15:00+01:00,337,,,10 days 22:01:05.625670526,0 days 01:26:41.020233075,10 days 23:27:46.645903601,1054,,,0 days 01:50:19.407899443,0 days 01:50:19.407899443,8,,,3000.0,2620.182293529238,0.12660590215692072,,,<commodity_des.RentalProcess object at 0x285f0c210>,failure - primary,11,household,1,2620.182293529238
29,2018-01-04 13:00:00+01:00,340,,,11 days 06:00:00,0 days 01:14:19.384182812,11 days 07:14:19.384182812,1085,,,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,,,3000.0,2700.0,0.1,,,<commodity_des.RentalProcess object at 0x285f03a50>,failure - primary,11,household,1,2700.0
30,2018-01-04 19:30:00+01:00,366,2018-01-04 19:30:00+01:00,366,1 days 04:15:22.989623904,0 days 01:08:03.794797734,1 days 05:23:26.784421638,118,2018-01-06 01:00:00+01:00,484,0 days 01:39:56.302546251,0 days 01:39:56.302546251,7,2018-01-06 02:45:00+01:00,491,3000.0,2373.536424557732,0.20882119181408929,['brs2'],,<commodity_des.RentalProcess object at 0x285f03e10>,sucess,1,lighting_search,1,2373.536424557732
31,2018-01-05 08:00:00+01:00,416,2018-01-05 08:00:00+01:00,416,0 days 06:40:29.015973422,0 days 00:44:51.241421868,0 days 07:25:20.257395290,30,2018-01-05 15:30:00+01:00,446,0 days 01:52:24.986939908,0 days 01:52:24.986939908,8,2018-01-05 17:30:00+01:00,454,3000.0,2669.890663713741,0.11003644542875293,['brs3'],,<commodity_des.RentalProcess object at 0x285f0e3d0>,sucess,9,welding,1,2669.890663713741
32,2018-01-05 08:00:00+01:00,416,2018-01-05 08:00:00+01:00,416,0 days 05:50:16.216216216,0 days 02:25:32.201444704,0 days 08:15:48.417660920,34,2018-01-05 16:30:00+01:00,450,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-05 18:30:00+01:00,458,12000.0,10800.0,0.1,"['brs5', 'brs8', 'brs9', 'brs6']",,<commodity_des.RentalProcess object at 0x285f0e010>,sucess,7,cocoa,4,2700.0
33,2018-01-05 08:45:00+01:00,419,2018-01-05 08:45:00+01:00,419,0 days 06:45:00,0 days 01:46:21.668700982,0 days 08:31:21.668700982,35,2018-01-05 17:30:00+01:00,454,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-05 19:30:00+01:00,462,3000.0,2700.0,0.1,['brs1'],,<commodity_des.RentalProcess object at 0x285f0d890>,sucess,9,welding,1,2700.0
34,2018-01-05 09:00:00+01:00,420,2018-01-05 09:00:00+01:00,420,0 days 06:15:02.091022304,0 days 01:15:52.407367779,0 days 07:30:54.498390083,31,2018-01-05 16:45:00+01:00,451,0 days 01:45:16.376427313,0 days 01:45:16.376427313,8,2018-01-05 18:45:00+01:00,459,3000.0,2500.2323358115186,0.16658922139616045,['brs7'],,<commodity_des.RentalProcess object at 0x285f0d4d0>,sucess,9,welding,1,2500.2323358115186
35,2018-01-05 09:15:00+01:00,421,2018-01-05 09:15:00+01:00,421,1 days 03:59:12.004709323,0 days 01:19:20.021999487,1 days 05:18:32.026708810,118,2018-01-06 14:45:00+01:00,539,0 days 01:28:22.737089964,0 days 01:28:22.737089964,6,2018-01-06 16:15:00+01:00,545,3000.0,2099.0000981108865,0.30033330062970454,['brs4'],,<commodity_des.RentalProcess object at 0x285f0e790>,sucess,3,cooling_food,1,2099.0000981108865
36,2018-01-05 10:00:00+01:00,424,,,0 days 03:53:38.945471107,0 days 01:35:30.369256166,0 days 05:29:09.314727273,22,,,0 days 01:46:34.606706120,0 days 01:46:34.606706120,8,,,3000.0,2531.198487838729,0.15626717072042373,,,<commodity_des.RentalProcess object at 0x285f0dc50>,failure - primary,8,powertool,1,2531.198487838729
37,2018-01-05 13:15:00+01:00,437,,,11 days 06:00:00,0 days 02:12:12.769492698,11 days 08:12:12.769492698,1089,,,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,,,3000.0,2700.0,0.1,,,<commodity_des.RentalProcess object at 0x285f0eb50>,failure - primary,11,household,1,2700.0
38,2018-01-05 19:45:00+01:00,463,2018-01-05 19:45:00+01:00,463,0 days 12:23:51.045804808,0 days 01:23:09.414401431,0 days 13:47:00.460206239,56,2018-01-06 09:45:00+01:00,519,0 days 01:49:37.206750183,0 days 01:49:37.206750183,8,2018-01-06 11:45:00+01:00,527,6000.0,5206.955343894521,0.13217410935091312,"['brs7', 'brs1']",,<commodity_des.RentalProcess object at 0x285f0d110>,sucess,0,lighting_construction,2,2603.4776719472607
39,2018-01-06 06:30:00+01:00,506,2018-01-06 06:30:00+01:00,506,1 days 12:00:00,0 days 01:11:00.317226494,1 days 13:11:00.317226494,149,2018-01-07 19:45:00+01:00,655,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-07 21:45:00+01:00,663,3000.0,2700.0,0.1,['brs2'],,<commodity_des.RentalProcess object at 0x285f0f690>,sucess,3,cooling_food,1,2700.0
40,2018-01-06 06:30:00+01:00,506,2018-01-06 06:30:00+01:00,506,0 days 10:48:00,0 days 00:47:54.333091546,0 days 11:35:54.333091546,47,2018-01-06 18:15:00+01:00,553,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-06 20:15:00+01:00,561,9000.0,8100.0,0.1,"['brs8', 'brs9', 'brs6']",,<commodity_des.RentalProcess object at 0x285f0fa50>,sucess,6,milling,3,2700.0
41,2018-01-06 07:15:00+01:00,509,2018-01-06 07:15:00+01:00,509,0 days 03:27:34.124886187,0 days 01:43:45.736558478,0 days 05:11:19.861444665,21,2018-01-06 12:30:00+01:00,530,0 days 02:15:25.788311996,0 days 02:15:25.788311996,10,2018-01-06 15:00:00+01:00,540,28050.0,2358.735773898919,0.2137547420336936,['brs5'],['bev0'],<commodity_des.RentalProcess object at 0x285490e90>,sucess,-1,rex_bev,1,2358.735773898919
42,2018-01-06 12:00:00+01:00,528,2018-01-06 12:00:00+01:00,528,10 days 13:26:34.776261186,0 days 01:04:01.694665887,10 days 14:30:36.470927073,1019,2018-01-17 02:45:00+01:00,1547,0 days 01:46:42.770359729,0 days 01:46:42.770359729,8,2018-01-17 04:45:00+01:00,1555,3000.0,2534.429934058853,0.15519002198038226,['brs1'],,<commodity_des.RentalProcess object at 0x285f0f2d0>,sucess,11,household,1,2534.429934058853
43,2018-01-06 17:30:00+01:00,550,,,0 days 07:33:08.188504628,0 days 01:14:02.391359564,0 days 08:47:10.579864192,36,,,0 days 01:45:59.810176522,0 days 01:45:59.810176522,8,,,18000.0,15104.549169238744,0.16085837948673637,,,<commodity_des.RentalProcess object at 0x285f0fe10>,failure - primary,10,ceremony,6,2517.4248615397905
44,2018-01-06 18:15:00+01:00,553,2018-01-06 18:15:00+01:00,553,0 days 03:40:28.351438546,0 days 01:06:37.386576680,0 days 04:47:05.738015226,20,2018-01-06 23:15:00+01:00,573,0 days 02:23:50.938302660,0 days 02:23:50.938302660,10,2018-01-07 01:45:00+01:00,583,28050.0,2505.3695906336084,0.1648768031221306,['brs4'],['bev3'],<commodity_des.RentalProcess object at 0x28548b7d0>,sucess,-1,rex_bev,1,2505.3695906336084
45,2018-01-06 20:45:00+01:00,563,2018-01-06 20:45:00+01:00,563,0 days 07:39:11.373116727,0 days 01:15:55.976904234,0 days 08:55:07.350020961,36,2018-01-07 05:45:00+01:00,599,0 days 01:47:24.765641340,0 days 01:47:24.765641340,8,2018-01-07 07:45:00+01:00,607,18000.0,15306.318398181891,0.1496489778787838,"['brs3', 'brs7', 'brs5', 'brs8', 'brs9', 'brs6']",,<commodity_des.RentalProcess object at 0x285f0ef10>,sucess,10,ceremony,6,2551.0530663636487
46,2018-01-07 07:45:00+01:00,607,2018-01-07 07:45:00+01:00,607,1 days 09:53:42.362020654,0 days 01:06:59.566840387,1 days 11:00:41.928861041,141,2018-01-08 19:00:00+01:00,748,0 days 01:47:02.229580035,0 days 01:47:02.229580035,8,2018-01-08 21:00:00+01:00,756,3000.0,2542.1325420969406,0.1526224859676865,['brs4'],,<commodity_des.RentalProcess object at 0x285f194d0>,sucess,3,cooling_food,1,2542.1325420969406
47,2018-01-07 08:15:00+01:00,609,2018-01-07 08:15:00+01:00,609,0 days 06:15:36.140931637,0 days 01:58:23.113059427,0 days 08:13:59.253991064,33,2018-01-07 16:30:00+01:00,642,0 days 01:45:25.934296600,0 days 01:45:25.934296600,8,2018-01-07 18:30:00+01:00,650,3000.0,2504.0156590709453,0.16532811364301822,['brs6'],,<commodity_des.RentalProcess object at 0x285f18210>,sucess,9,welding,1,2504.0156590709453
48,2018-01-07 08:45:00+01:00,611,2018-01-07 08:45:00+01:00,611,0 days 04:46:47.398755820,0 days 00:56:14.238706513,0 days 05:43:01.637462333,23,2018-01-07 14:30:00+01:00,634,0 days 02:17:13.205146326,0 days 02:17:13.205146326,10,2018-01-07 17:00:00+01:00,644,38250.0,11949.58246932098,0.20336116871193466,"['brs3', 'brs7', 'brs5', 'brs8', 'brs9']",['bev1'],<commodity_des.RentalProcess object at 0x285492c90>,sucess,-1,rex_bev,5,2389.916493864196
49,2018-01-07 09:15:00+01:00,613,,,0 days 10:34:26.499413892,0 days 01:35:35.244284103,0 days 12:10:01.743697995,49,,,0 days 01:51:18.333230508,0 days 01:51:18.333230508,8,,,9000.0,7930.520711227222,0.11883103208586425,,,<commodity_des.RentalProcess object at 0x285f185d0>,failure - primary,6,milling,3,2643.5069037424073
50,2018-01-07 09:45:00+01:00,615,,,0 days 03:15:28.842997773,0 days 01:49:33.682913112,0 days 05:05:02.525910885,21,,,0 days 01:29:09.998560388,0 days 01:29:09.998560388,6,,,3000.0,2117.7077634869142,0.2940974121710286,,,<commodity_des.RentalProcess object at 0x285f18990>,failure - primary,8,powertool,1,2117.7077634869142
51,2018-01-07 09:45:00+01:00,615,,,1 days 02:30:03.653556991,0 days 01:47:05.755394569,1 days 04:17:09.408951560,114,,,0 days 01:23:41.244924051,0 days 01:23:41.244924051,6,,,3000.0,1987.5761157706506,0.33747462807644973,,,<commodity_des.RentalProcess object at 0x285f18d50>,failure - primary,3,cooling_food,1,1987.5761157706506
52,2018-01-07 19:15:00+01:00,653,2018-01-07 19:15:00+01:00,653,0 days 06:37:21.086595264,0 days 01:24:28.383377112,0 days 08:01:49.469972376,33,2018-01-08 03:30:00+01:00,686,0 days 01:16:07.450274038,0 days 01:16:07.450274038,6,2018-01-08 05:00:00+01:00,692,12000.0,7231.796267229672,0.3973503110641941,"['brs5', 'brs8', 'brs9', 'brs6']",,<commodity_des.RentalProcess object at 0x285f19110>,sucess,12,boat_fishing,4,1807.949066807418
53,2018-01-08 07:15:00+01:00,701,2018-01-08 07:15:00+01:00,701,1 days 00:32:43.636363638,0 days 01:05:11.356850151,1 days 01:37:54.993213789,103,2018-01-09 09:00:00+01:00,804,0 days 01:53:41.052631578,0 days 01:53:41.052631578,8,2018-01-09 11:00:00+01:00,812,3000.0,2700.0,0.1,['brs6'],,<commodity_des.RentalProcess object at 0x285f1af10>,sucess,4,evbs_water,1,2700.0
