key,icev
name,icev
num,5
type_unit,icev
data_source,log
filename,icev_log
filename_mapper,mtf
capex_preexisting,True
capex_fix_glider,25000
capex_fix_charger,0
ccr,1
ls,10
mntex_fix_glider,1000
opex_spec_dist,0.3
crev_spec_time,0.1
crev_spec_dist,0.4
opex_spec_ext_ac,None
opex_spec_ext_dc,None
invest,None
size_preexisting,None
size_max,None
capex_spec,None
rex,None
mode_scheduling,None
forecast_hours,None
aging,None
chemistry,None
temp_battery,None
q_loss_cal_init,None
q_loss_cyc_init,None
soc_init,None
soc_target,None
soc_return,None
dsoc_buffer,None
pwr_chg_max,None
pwr_dis_max,None
pwr_ext_ac_max,None
pwr_ext_dc_max,None
eff_storage_roundtrip,None
eff_chg_ac,None
eff_chg_dc,None
eff_dis_ac,None
eff_dis_dc,None
sdr,None
