time,power_w
2005-01-01 00:00:00+01:00,2141
2005-01-01 00:15:00+01:00,3459
2005-01-01 00:30:00+01:00,2536
2005-01-01 00:45:00+01:00,3234
2005-01-01 01:00:00+01:00,2949
2005-01-01 01:15:00+01:00,992
2005-01-01 01:30:00+01:00,629
2005-01-01 01:45:00+01:00,2894
2005-01-01 02:00:00+01:00,2268
2005-01-01 02:15:00+01:00,1549
2005-01-01 02:30:00+01:00,311
2005-01-01 02:45:00+01:00,2334
2005-01-01 03:00:00+01:00,2396
2005-01-01 03:15:00+01:00,1339
2005-01-01 03:30:00+01:00,2705
2005-01-01 03:45:00+01:00,2078
2005-01-01 04:00:00+01:00,2286
2005-01-01 04:15:00+01:00,2083
2005-01-01 04:30:00+01:00,3546
2005-01-01 04:45:00+01:00,831
2005-01-01 05:00:00+01:00,1472
2005-01-01 05:15:00+01:00,1021
2005-01-01 05:30:00+01:00,1510
2005-01-01 05:45:00+01:00,2646
2005-01-01 06:00:00+01:00,1716
2005-01-01 06:15:00+01:00,2016
2005-01-01 06:30:00+01:00,448
2005-01-01 06:45:00+01:00,1021
2005-01-01 07:00:00+01:00,672
2005-01-01 07:15:00+01:00,500
2005-01-01 07:30:00+01:00,2115
2005-01-01 07:45:00+01:00,1048
2005-01-01 08:00:00+01:00,730
2005-01-01 08:15:00+01:00,1403
2005-01-01 08:30:00+01:00,1100
2005-01-01 08:45:00+01:00,422
2005-01-01 09:00:00+01:00,463
2005-01-01 09:15:00+01:00,982
2005-01-01 09:30:00+01:00,1154
2005-01-01 09:45:00+01:00,1494
2005-01-01 10:00:00+01:00,1044
2005-01-01 10:15:00+01:00,1401
2005-01-01 10:30:00+01:00,133
2005-01-01 10:45:00+01:00,1267
2005-01-01 11:00:00+01:00,1271
2005-01-01 11:15:00+01:00,1363
2005-01-01 11:30:00+01:00,1945
2005-01-01 11:45:00+01:00,1883
2005-01-01 12:00:00+01:00,2807
2005-01-01 12:15:00+01:00,1738
2005-01-01 12:30:00+01:00,889
2005-01-01 12:45:00+01:00,1273
2005-01-01 13:00:00+01:00,2269
2005-01-01 13:15:00+01:00,1265
2005-01-01 13:30:00+01:00,1750
2005-01-01 13:45:00+01:00,828
2005-01-01 14:00:00+01:00,1123
2005-01-01 14:15:00+01:00,1572
2005-01-01 14:30:00+01:00,921
2005-01-01 14:45:00+01:00,2234
2005-01-01 15:00:00+01:00,1761
2005-01-01 15:15:00+01:00,1900
2005-01-01 15:30:00+01:00,2383
2005-01-01 15:45:00+01:00,1170
2005-01-01 16:00:00+01:00,1738
2005-01-01 16:15:00+01:00,1293
2005-01-01 16:30:00+01:00,2049
2005-01-01 16:45:00+01:00,1900
2005-01-01 17:00:00+01:00,639
2005-01-01 17:15:00+01:00,3468
2005-01-01 17:30:00+01:00,2529
2005-01-01 17:45:00+01:00,1687
2005-01-01 18:00:00+01:00,3009
2005-01-01 18:15:00+01:00,5351
2005-01-01 18:30:00+01:00,3086
2005-01-01 18:45:00+01:00,4801
2005-01-01 19:00:00+01:00,3818
2005-01-01 19:15:00+01:00,4678
2005-01-01 19:30:00+01:00,4867
2005-01-01 19:45:00+01:00,5153
2005-01-01 20:00:00+01:00,2360
2005-01-01 20:15:00+01:00,3677
2005-01-01 20:30:00+01:00,7036
2005-01-01 20:45:00+01:00,5869
2005-01-01 21:00:00+01:00,3396
2005-01-01 21:15:00+01:00,2475
2005-01-01 21:30:00+01:00,3017
2005-01-01 21:45:00+01:00,4776
2005-01-01 22:00:00+01:00,3514
2005-01-01 22:15:00+01:00,4327
2005-01-01 22:30:00+01:00,1878
2005-01-01 22:45:00+01:00,4662
2005-01-01 23:00:00+01:00,3584
2005-01-01 23:15:00+01:00,2040
2005-01-01 23:30:00+01:00,3191
2005-01-01 23:45:00+01:00,5118
2005-01-02 00:00:00+01:00,4993
2005-01-02 00:15:00+01:00,46
2005-01-02 00:30:00+01:00,4073
2005-01-02 00:45:00+01:00,2756
2005-01-02 01:00:00+01:00,4068
2005-01-02 01:15:00+01:00,1208
2005-01-02 01:30:00+01:00,3925
2005-01-02 01:45:00+01:00,1923
2005-01-02 02:00:00+01:00,3626
2005-01-02 02:15:00+01:00,2280
2005-01-02 02:30:00+01:00,2533
2005-01-02 02:45:00+01:00,3212
2005-01-02 03:00:00+01:00,3666
2005-01-02 03:15:00+01:00,3173
2005-01-02 03:30:00+01:00,3115
2005-01-02 03:45:00+01:00,3971
2005-01-02 04:00:00+01:00,3201
2005-01-02 04:15:00+01:00,3062
2005-01-02 04:30:00+01:00,4402
2005-01-02 04:45:00+01:00,3242
2005-01-02 05:00:00+01:00,2576
2005-01-02 05:15:00+01:00,0
2005-01-02 05:30:00+01:00,1408
2005-01-02 05:45:00+01:00,2514
2005-01-02 06:00:00+01:00,507
2005-01-02 06:15:00+01:00,1948
2005-01-02 06:30:00+01:00,1609
2005-01-02 06:45:00+01:00,3024
2005-01-02 07:00:00+01:00,3752
2005-01-02 07:15:00+01:00,2308
2005-01-02 07:30:00+01:00,3265
2005-01-02 07:45:00+01:00,2461
2005-01-02 08:00:00+01:00,771
2005-01-02 08:15:00+01:00,1426
2005-01-02 08:30:00+01:00,2246
2005-01-02 08:45:00+01:00,2215
2005-01-02 09:00:00+01:00,3504
2005-01-02 09:15:00+01:00,1053
2005-01-02 09:30:00+01:00,210
2005-01-02 09:45:00+01:00,1926
2005-01-02 10:00:00+01:00,1972
2005-01-02 10:15:00+01:00,2712
2005-01-02 10:30:00+01:00,2799
2005-01-02 10:45:00+01:00,2685
2005-01-02 11:00:00+01:00,0
2005-01-02 11:15:00+01:00,1617
2005-01-02 11:30:00+01:00,2369
2005-01-02 11:45:00+01:00,221
2005-01-02 12:00:00+01:00,1318
2005-01-02 12:15:00+01:00,978
2005-01-02 12:30:00+01:00,1344
2005-01-02 12:45:00+01:00,1146
2005-01-02 13:00:00+01:00,907
2005-01-02 13:15:00+01:00,954
2005-01-02 13:30:00+01:00,2080
2005-01-02 13:45:00+01:00,753
2005-01-02 14:00:00+01:00,1635
2005-01-02 14:15:00+01:00,1569
2005-01-02 14:30:00+01:00,444
2005-01-02 14:45:00+01:00,914
2005-01-02 15:00:00+01:00,2782
