profile,period,day,time,power
H0,Summer,Workday,00:00,86.3
H0,Summer,Workday,00:15,76.9
H0,Summer,Workday,00:30,68.8
H0,Summer,Workday,00:45,62.4
H0,Summer,Workday,01:00,58.0
H0,Summer,Workday,01:15,55.3
H0,Summer,Workday,01:30,53.6
H0,Summer,Workday,01:45,52.4
H0,Summer,Workday,02:00,51.3
H0,Summer,Workday,02:15,50.3
H0,Summer,Workday,02:30,49.2
H0,Summer,Workday,02:45,48.3
H0,Summer,Workday,03:00,47.5
H0,Summer,Workday,03:15,46.9
H0,Summer,Workday,03:30,46.5
H0,Summer,Workday,03:45,46.6
H0,Summer,Workday,04:00,47.1
H0,Summer,Workday,04:15,48.0
H0,Summer,Workday,04:30,49.3
H0,Summer,Workday,04:45,50.8
H0,Summer,Workday,05:00,52.7
H0,Summer,Workday,05:15,55.6
H0,Summer,Workday,05:30,60.5
H0,Summer,Workday,05:45,68.2
H0,Summer,Workday,06:00,79.2
H0,Summer,Workday,06:15,92.0
H0,Summer,Workday,06:30,104.7
H0,Summer,Workday,06:45,115.7
H0,Summer,Workday,07:00,123.5
H0,Summer,Workday,07:15,128.6
H0,Summer,Workday,07:30,132.0
H0,Summer,Workday,07:45,134.8
H0,Summer,Workday,08:00,137.8
H0,Summer,Workday,08:15,140.7
H0,Summer,Workday,08:30,143.2
H0,Summer,Workday,08:45,144.8
H0,Summer,Workday,09:00,145.3
H0,Summer,Workday,09:15,144.9
H0,Summer,Workday,09:30,143.8
H0,Summer,Workday,09:45,142.3
H0,Summer,Workday,10:00,140.8
H0,Summer,Workday,10:15,139.5
H0,Summer,Workday,10:30,138.5
H0,Summer,Workday,10:45,138.2
H0,Summer,Workday,11:00,138.6
H0,Summer,Workday,11:15,140.1
H0,Summer,Workday,11:30,142.6
H0,Summer,Workday,11:45,146.5
H0,Summer,Workday,12:00,151.5
H0,Summer,Workday,12:15,156.7
H0,Summer,Workday,12:30,160.7
H0,Summer,Workday,12:45,162.3
H0,Summer,Workday,13:00,160.5
H0,Summer,Workday,13:15,156.1
H0,Summer,Workday,13:30,150.2
H0,Summer,Workday,13:45,144.0
H0,Summer,Workday,14:00,138.4
H0,Summer,Workday,14:15,133.6
H0,Summer,Workday,14:30,129.4
H0,Summer,Workday,14:45,125.7
H0,Summer,Workday,15:00,122.4
H0,Summer,Workday,15:15,119.6
H0,Summer,Workday,15:30,117.4
H0,Summer,Workday,15:45,115.7
H0,Summer,Workday,16:00,114.6
H0,Summer,Workday,16:15,114.2
H0,Summer,Workday,16:30,114.6
H0,Summer,Workday,16:45,115.7
H0,Summer,Workday,17:00,117.6
H0,Summer,Workday,17:15,120.3
H0,Summer,Workday,17:30,123.9
H0,Summer,Workday,17:45,128.2
H0,Summer,Workday,18:00,133.2
H0,Summer,Workday,18:15,138.9
H0,Summer,Workday,18:30,145.1
H0,Summer,Workday,18:45,151.5
H0,Summer,Workday,19:00,157.9
H0,Summer,Workday,19:15,163.8
H0,Summer,Workday,19:30,168.3
H0,Summer,Workday,19:45,170.6
H0,Summer,Workday,20:00,170.4
H0,Summer,Workday,20:15,168.3
H0,Summer,Workday,20:30,165.3
H0,Summer,Workday,20:45,162.3
H0,Summer,Workday,21:00,160.1
H0,Summer,Workday,21:15,158.4
H0,Summer,Workday,21:30,156.8
H0,Summer,Workday,21:45,154.8
H0,Summer,Workday,22:00,151.9
H0,Summer,Workday,22:15,147.9
H0,Summer,Workday,22:30,142.5
H0,Summer,Workday,22:45,135.7
H0,Summer,Workday,23:00,127.2
H0,Summer,Workday,23:15,117.5
H0,Summer,Workday,23:30,107.1
H0,Summer,Workday,23:45,96.5
H0,Summer,Saturday,00:00,89.8
H0,Summer,Saturday,00:15,84.9
H0,Summer,Saturday,00:30,80.7
H0,Summer,Saturday,00:45,76.6
H0,Summer,Saturday,01:00,71.7
H0,Summer,Saturday,01:15,66.6
H0,Summer,Saturday,01:30,61.6
H0,Summer,Saturday,01:45,57.4
H0,Summer,Saturday,02:00,54.5
H0,Summer,Saturday,02:15,52.6
H0,Summer,Saturday,02:30,51.4
H0,Summer,Saturday,02:45,50.8
H0,Summer,Saturday,03:00,50.3
H0,Summer,Saturday,03:15,50.0
H0,Summer,Saturday,03:30,49.9
H0,Summer,Saturday,03:45,49.9
H0,Summer,Saturday,04:00,50.1
H0,Summer,Saturday,04:15,50.4
H0,Summer,Saturday,04:30,50.7
H0,Summer,Saturday,04:45,50.8
H0,Summer,Saturday,05:00,50.8
H0,Summer,Saturday,05:15,50.9
H0,Summer,Saturday,05:30,51.6
H0,Summer,Saturday,05:45,53.3
H0,Summer,Saturday,06:00,56.2
H0,Summer,Saturday,06:15,60.4
H0,Summer,Saturday,06:30,65.8
H0,Summer,Saturday,06:45,72.4
H0,Summer,Saturday,07:00,80.0
H0,Summer,Saturday,07:15,88.5
H0,Summer,Saturday,07:30,97.4
H0,Summer,Saturday,07:45,106.5
H0,Summer,Saturday,08:00,115.6
H0,Summer,Saturday,08:15,124.4
H0,Summer,Saturday,08:30,132.8
H0,Summer,Saturday,08:45,140.7
H0,Summer,Saturday,09:00,147.8
H0,Summer,Saturday,09:15,154.0
H0,Summer,Saturday,09:30,158.9
H0,Summer,Saturday,09:45,162.3
H0,Summer,Saturday,10:00,164.1
H0,Summer,Saturday,10:15,164.7
H0,Summer,Saturday,10:30,165.0
H0,Summer,Saturday,10:45,165.6
H0,Summer,Saturday,11:00,167.1
H0,Summer,Saturday,11:15,169.4
H0,Summer,Saturday,11:30,172.4
H0,Summer,Saturday,11:45,175.6
H0,Summer,Saturday,12:00,179.0
H0,Summer,Saturday,12:15,181.9
H0,Summer,Saturday,12:30,183.7
H0,Summer,Saturday,12:45,183.9
H0,Summer,Saturday,13:00,182.1
H0,Summer,Saturday,13:15,178.7
H0,Summer,Saturday,13:30,174.1
H0,Summer,Saturday,13:45,169.0
H0,Summer,Saturday,14:00,163.7
H0,Summer,Saturday,14:15,158.9
H0,Summer,Saturday,14:30,154.6
H0,Summer,Saturday,14:45,151.5
H0,Summer,Saturday,15:00,149.6
H0,Summer,Saturday,15:15,148.6
H0,Summer,Saturday,15:30,148.0
H0,Summer,Saturday,15:45,147.3
H0,Summer,Saturday,16:00,146.2
H0,Summer,Saturday,16:15,145.0
H0,Summer,Saturday,16:30,144.1
H0,Summer,Saturday,16:45,144.0
H0,Summer,Saturday,17:00,144.9
H0,Summer,Saturday,17:15,146.9
H0,Summer,Saturday,17:30,150.0
H0,Summer,Saturday,17:45,154.0
H0,Summer,Saturday,18:00,158.8
H0,Summer,Saturday,18:15,164.0
H0,Summer,Saturday,18:30,169.2
H0,Summer,Saturday,18:45,174.0
H0,Summer,Saturday,19:00,177.8
H0,Summer,Saturday,19:15,180.5
H0,Summer,Saturday,19:30,181.8
H0,Summer,Saturday,19:45,181.4
H0,Summer,Saturday,20:00,179.3
H0,Summer,Saturday,20:15,175.7
H0,Summer,Saturday,20:30,171.0
H0,Summer,Saturday,20:45,165.6
H0,Summer,Saturday,21:00,160.1
H0,Summer,Saturday,21:15,155.1
H0,Summer,Saturday,21:30,151.1
H0,Summer,Saturday,21:45,149.0
H0,Summer,Saturday,22:00,148.9
H0,Summer,Saturday,22:15,149.6
H0,Summer,Saturday,22:30,149.4
H0,Summer,Saturday,22:45,146.5
H0,Summer,Saturday,23:00,139.8
H0,Summer,Saturday,23:15,130.3
H0,Summer,Saturday,23:30,119.5
H0,Summer,Saturday,23:45,109.0
H0,Summer,Sunday,00:00,100.1
H0,Summer,Sunday,00:15,92.5
H0,Summer,Sunday,00:30,85.9
H0,Summer,Sunday,00:45,79.9
H0,Summer,Sunday,01:00,74.1
H0,Summer,Sunday,01:15,68.7
H0,Summer,Sunday,01:30,63.9
H0,Summer,Sunday,01:45,59.9
H0,Summer,Sunday,02:00,57.0
H0,Summer,Sunday,02:15,55.0
H0,Summer,Sunday,02:30,53.5
H0,Summer,Sunday,02:45,52.4
H0,Summer,Sunday,03:00,51.5
H0,Summer,Sunday,03:15,50.8
H0,Summer,Sunday,03:30,50.2
H0,Summer,Sunday,03:45,49.9
H0,Summer,Sunday,04:00,49.9
H0,Summer,Sunday,04:15,50.0
H0,Summer,Sunday,04:30,50.1
H0,Summer,Sunday,04:45,49.9
H0,Summer,Sunday,05:00,49.5
H0,Summer,Sunday,05:15,48.9
H0,Summer,Sunday,05:30,48.4
H0,Summer,Sunday,05:45,48.3
H0,Summer,Sunday,06:00,48.7
H0,Summer,Sunday,06:15,49.8
H0,Summer,Sunday,06:30,51.9
H0,Summer,Sunday,06:45,54.9
H0,Summer,Sunday,07:00,59.2
H0,Summer,Sunday,07:15,64.9
H0,Summer,Sunday,07:30,72.3
H0,Summer,Sunday,07:45,81.6
H0,Summer,Sunday,08:00,92.9
H0,Summer,Sunday,08:15,105.6
H0,Summer,Sunday,08:30,119.0
H0,Summer,Sunday,08:45,132.3
H0,Summer,Sunday,09:00,144.8
H0,Summer,Sunday,09:15,156.2
H0,Summer,Sunday,09:30,166.0
H0,Summer,Sunday,09:45,174.0
H0,Summer,Sunday,10:00,180.0
H0,Summer,Sunday,10:15,184.6
H0,Summer,Sunday,10:30,188.7
H0,Summer,Sunday,10:45,193.1
H0,Summer,Sunday,11:00,198.3
H0,Summer,Sunday,11:15,203.7
H0,Summer,Sunday,11:30,208.7
H0,Summer,Sunday,11:45,212.2
H0,Summer,Sunday,12:00,213.7
H0,Summer,Sunday,12:15,212.8
H0,Summer,Sunday,12:30,209.0
H0,Summer,Sunday,12:45,202.3
H0,Summer,Sunday,13:00,192.4
H0,Summer,Sunday,13:15,180.9
H0,Summer,Sunday,13:30,169.2
H0,Summer,Sunday,13:45,159.0
H0,Summer,Sunday,14:00,151.4
H0,Summer,Sunday,14:15,146.0
H0,Summer,Sunday,14:30,141.6
H0,Summer,Sunday,14:45,137.3
H0,Summer,Sunday,15:00,132.4
H0,Summer,Sunday,15:15,127.0
H0,Summer,Sunday,15:30,121.6
H0,Summer,Sunday,15:45,116.5
H0,Summer,Sunday,16:00,112.2
H0,Summer,Sunday,16:15,108.9
H0,Summer,Sunday,16:30,106.7
H0,Summer,Sunday,16:45,105.7
H0,Summer,Sunday,17:00,106.1
H0,Summer,Sunday,17:15,107.7
H0,Summer,Sunday,17:30,110.4
H0,Summer,Sunday,17:45,114.0
H0,Summer,Sunday,18:00,118.3
H0,Summer,Sunday,18:15,123.4
H0,Summer,Sunday,18:30,129.2
H0,Summer,Sunday,18:45,135.7
H0,Summer,Sunday,19:00,142.8
H0,Summer,Sunday,19:15,149.8
H0,Summer,Sunday,19:30,155.7
H0,Summer,Sunday,19:45,159.8
H0,Summer,Sunday,20:00,161.4
H0,Summer,Sunday,20:15,160.8
H0,Summer,Sunday,20:30,159.0
H0,Summer,Sunday,20:45,156.5
H0,Summer,Sunday,21:00,153.9
H0,Summer,Sunday,21:15,151.5
H0,Summer,Sunday,21:30,149.3
H0,Summer,Sunday,21:45,147.3
