Latitude (decimal degrees):11
Longitude (decimal degrees):0
Elevation (m):256.0
Radiation database:PVGIS-SARAH2


Slope: 15 deg. (optimum)
Azimuth: 0 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	0.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050101:0000,0.0,0.0,0.0,0.0,0.0,0
20050101:0100,0.0,0.0,0.0,0.0,0.0,0
20050101:0200,0.0,0.0,0.0,0.0,0.0,0
20050101:0300,0.0,0.0,0.0,0.0,0.0,0
20050101:0400,0.0,0.0,0.0,0.0,0.0,0
20050101:0500,0.0,0.0,0.0,0.0,0.0,0
20050101:0600,0.0,0.0,0.0,0.0,0.0,0
20050101:0700,145.78352208401117,0.0,0.0,0.0,0.0,0
20050101:0800,430.7401005467915,0.0,0.0,0.0,0.0,0
20050101:0900,612.3979061897065,0.0,0.0,0.0,0.0,0
20050101:1000,728.4121809038576,0.0,0.0,0.0,0.0,0
20050101:1100,802.613466739121,0.0,0.0,0.0,0.0,0
20050101:1200,860.4209124203753,0.0,0.0,0.0,0.0,0
20050101:1300,798.799729114835,0.0,0.0,0.0,0.0,0
20050101:1400,711.3541844204019,0.0,0.0,0.0,0.0,0
20050101:1500,568.8748222601133,0.0,0.0,0.0,0.0,0
20050101:1600,299.84271600048214,0.0,0.0,0.0,0.0,0
20050101:1700,93.77413331230849,0.0,0.0,0.0,0.0,0
20050101:1800,0.0,0.0,0.0,0.0,0.0,0
20050101:1900,0.0,0.0,0.0,0.0,0.0,0
20050101:2000,0.0,0.0,0.0,0.0,0.0,0
20050101:2100,0.0,0.0,0.0,0.0,0.0,0
20050101:2200,0.0,0.0,0.0,0.0,0.0,0
20050101:2300,0.0,0.0,0.0,0.0,0.0,0
20050102:0000,0.0,0.0,0.0,0.0,0.0,0
20050102:0100,0.0,0.0,0.0,0.0,0.0,0
20050102:0200,0.0,0.0,0.0,0.0,0.0,0
20050102:0300,0.0,0.0,0.0,0.0,0.0,0
20050102:0400,0.0,0.0,0.0,0.0,0.0,0
20050102:0500,0.0,0.0,0.0,0.0,0.0,0
20050102:0600,0.0,0.0,0.0,0.0,0.0,0
20050102:0700,117.24997322592175,0.0,0.0,0.0,0.0,0
20050102:0800,358.26863702640304,0.0,0.0,0.0,0.0,0
20050102:0900,542.9584122084724,0.0,0.0,0.0,0.0,0
20050102:1000,744.9758826365658,0.0,0.0,0.0,0.0,0
20050102:1100,36.79946845791792,0.0,0.0,0.0,0.0,0
20050102:1200,849.6576793894926,0.0,0.0,0.0,0.0,0
20050102:1300,809.061327317059,0.0,0.0,0.0,0.0,0
20050102:1400,659.4751199372558,0.0,0.0,0.0,0.0,0
20050102:1500,567.922549755011,0.0,0.0,0.0,0.0,0
20050102:1600,374.58938918863106,0.0,0.0,0.0,0.0,0
20050102:1700,112.29294253328621,0.0,0.0,0.0,0.0,0
20050102:1800,0.0,0.0,0.0,0.0,0.0,0
20050102:1900,0.0,0.0,0.0,0.0,0.0,0
20050102:2000,0.0,0.0,0.0,0.0,0.0,0
20050102:2100,0.0,0.0,0.0,0.0,0.0,0
20050102:2200,0.0,0.0,0.0,0.0,0.0,0
20050102:2300,0.0,0.0,0.0,0.0,0.0,0
20050103:0000,0.0,0.0,0.0,0.0,0.0,0
20050103:0100,0.0,0.0,0.0,0.0,0.0,0
20050103:0200,0.0,0.0,0.0,0.0,0.0,0
20050103:0300,0.0,0.0,0.0,0.0,0.0,0
20050103:0400,0.0,0.0,0.0,0.0,0.0,0
20050103:0500,0.0,0.0,0.0,0.0,0.0,0
20050103:0600,0.0,0.0,0.0,0.0,0.0,0
20050103:0700,122.47697768271591,0.0,0.0,0.0,0.0,0
20050103:0800,398.6864892578934,0.0,0.0,0.0,0.0,0
20050103:0900,598.1639444737262,0.0,0.0,0.0,0.0,0
20050103:1000,794.5387944367332,0.0,0.0,0.0,0.0,0
20050103:1100,896.8391689429235,0.0,0.0,0.0,0.0,0
20050103:1200,906.9424092220197,0.0,0.0,0.0,0.0,0
20050103:1300,878.1548363530305,0.0,0.0,0.0,0.0,0
20050103:1400,746.7288552969426,0.0,0.0,0.0,0.0,0
20050103:1500,554.318995387152,0.0,0.0,0.0,0.0,0
20050103:1600,394.93283295294395,0.0,0.0,0.0,0.0,0
20050103:1700,127.83152857030842,0.0,0.0,0.0,0.0,0
20050103:1800,0.0,0.0,0.0,0.0,0.0,0
20050103:1900,0.0,0.0,0.0,0.0,0.0,0
20050103:2000,0.0,0.0,0.0,0.0,0.0,0
20050103:2100,0.0,0.0,0.0,0.0,0.0,0
20050103:2200,0.0,0.0,0.0,0.0,0.0,0
20050103:2300,0.0,0.0,0.0,0.0,0.0,0
20050104:0000,0.0,0.0,0.0,0.0,0.0,0
20050104:0100,0.0,0.0,0.0,0.0,0.0,0
20050104:0200,0.0,0.0,0.0,0.0,0.0,0
20050104:0300,0.0,0.0,0.0,0.0,0.0,0
20050104:0400,0.0,0.0,0.0,0.0,0.0,0
20050104:0500,0.0,0.0,0.0,0.0,0.0,0
20050104:0600,0.0,0.0,0.0,0.0,0.0,0
20050104:0700,96.24540072530672,0.0,0.0,0.0,0.0,0
20050104:0800,328.3563556492094,0.0,0.0,0.0,0.0,0
20050104:0900,533.7906235566885,0.0,0.0,0.0,0.0,0
20050104:1000,604.5515814655199,0.0,0.0,0.0,0.0,0
20050104:1100,804.0749275043678,0.0,0.0,0.0,0.0,0
20050104:1200,903.069652996164,0.0,0.0,0.0,0.0,0
20050104:1300,834.2721292035689,0.0,0.0,0.0,0.0,0
20050104:1400,753.0114442269752,0.0,0.0,0.0,0.0,0
20050104:1500,620.9822206842366,0.0,0.0,0.0,0.0,0
20050104:1600,384.0256506947294,0.0,0.0,0.0,0.0,0
20050104:1700,130.34525066272263,0.0,0.0,0.0,0.0,0
20050104:1800,0.0,0.0,0.0,0.0,0.0,0
20050104:1900,0.0,0.0,0.0,0.0,0.0,0
20050104:2000,0.0,0.0,0.0,0.0,0.0,0
20050104:2100,0.0,0.0,0.0,0.0,0.0,0
20050104:2200,0.0,0.0,0.0,0.0,0.0,0
20050104:2300,0.0,0.0,0.0,0.0,0.0,0
20050105:0000,0.0,0.0,0.0,0.0,0.0,0
20050105:0100,0.0,0.0,0.0,0.0,0.0,0
20050105:0200,0.0,0.0,0.0,0.0,0.0,0
20050105:0300,0.0,0.0,0.0,0.0,0.0,0
20050105:0400,0.0,0.0,0.0,0.0,0.0,0
20050105:0500,0.0,0.0,0.0,0.0,0.0,0
20050105:0600,0.0,0.0,0.0,0.0,0.0,0
20050105:0700,131.1826752447528,0.0,0.0,0.0,0.0,0
20050105:0800,379.2104280072276,0.0,0.0,0.0,0.0,0
20050105:0900,628.9976176036342,0.0,0.0,0.0,0.0,0
20050105:1000,779.2979390434054,0.0,0.0,0.0,0.0,0
20050105:1100,860.815773643438,0.0,0.0,0.0,0.0,0
20050105:1200,907.0084753093006,0.0,0.0,0.0,0.0,0
20050105:1300,859.0025626920201,0.0,0.0,0.0,0.0,0
20050105:1400,721.3766836184919,0.0,0.0,0.0,0.0,0
20050105:1500,619.5819918857256,0.0,0.0,0.0,0.0,0
20050105:1600,370.24397439348365,0.0,0.0,0.0,0.0,0
20050105:1700,104.70600612814569,0.0,0.0,0.0,0.0,0
20050105:1800,0.0,0.0,0.0,0.0,0.0,0
20050105:1900,0.0,0.0,0.0,0.0,0.0,0
20050105:2000,0.0,0.0,0.0,0.0,0.0,0
20050105:2100,0.0,0.0,0.0,0.0,0.0,0
20050105:2200,0.0,0.0,0.0,0.0,0.0,0
20050105:2300,0.0,0.0,0.0,0.0,0.0,0
20050106:0000,0.0,0.0,0.0,0.0,0.0,0
20050106:0100,0.0,0.0,0.0,0.0,0.0,0
20050106:0200,0.0,0.0,0.0,0.0,0.0,0
20050106:0300,0.0,0.0,0.0,0.0,0.0,0
20050106:0400,0.0,0.0,0.0,0.0,0.0,0
20050106:0500,0.0,0.0,0.0,0.0,0.0,0
20050106:0600,0.0,0.0,0.0,0.0,0.0,0
20050106:0700,115.54398044026095,0.0,0.0,0.0,0.0,0
20050106:0800,377.28672661252676,0.0,0.0,0.0,0.0,0
20050106:0900,13.245896599640758,0.0,0.0,0.0,0.0,0
20050106:1000,806.5530638336576,0.0,0.0,0.0,0.0,0
20050106:1100,863.8213654384336,0.0,0.0,0.0,0.0,0
20050106:1200,904.9384886181688,0.0,0.0,0.0,0.0,0
20050106:1300,870.4341603230389,0.0,0.0,0.0,0.0,0
20050106:1400,733.9306505722594,0.0,0.0,0.0,0.0,0
20050106:1500,625.9929440970546,0.0,0.0,0.0,0.0,0
20050106:1600,382.85331089942133,0.0,0.0,0.0,0.0,0
20050106:1700,140.4783489315153,0.0,0.0,0.0,0.0,0
20050106:1800,0.0,0.0,0.0,0.0,0.0,0
20050106:1900,0.0,0.0,0.0,0.0,0.0,0
20050106:2000,0.0,0.0,0.0,0.0,0.0,0
20050106:2100,0.0,0.0,0.0,0.0,0.0,0
20050106:2200,0.0,0.0,0.0,0.0,0.0,0
20050106:2300,0.0,0.0,0.0,0.0,0.0,0
20050107:0000,0.0,0.0,0.0,0.0,0.0,0
20050107:0100,0.0,0.0,0.0,0.0,0.0,0
20050107:0200,0.0,0.0,0.0,0.0,0.0,0
20050107:0300,0.0,0.0,0.0,0.0,0.0,0
20050107:0400,0.0,0.0,0.0,0.0,0.0,0
20050107:0500,0.0,0.0,0.0,0.0,0.0,0
20050107:0600,0.0,0.0,0.0,0.0,0.0,0
20050107:0700,117.87990483520448,0.0,0.0,0.0,0.0,0
20050107:0800,381.7807890462049,0.0,0.0,0.0,0.0,0
20050107:0900,576.563592650246,0.0,0.0,0.0,0.0,0
20050107:1000,790.1731388871941,0.0,0.0,0.0,0.0,0
20050107:1100,810.112076054459,0.0,0.0,0.0,0.0,0
20050107:1200,855.1637573107275,0.0,0.0,0.0,0.0,0
20050107:1300,265.4963571428432,0.0,0.0,0.0,0.0,0
20050107:1400,563.8498848669932,0.0,0.0,0.0,0.0,0
20050107:1500,290.23404123851157,0.0,0.0,0.0,0.0,0
20050107:1600,259.27110381703346,0.0,0.0,0.0,0.0,0
20050107:1700,71.18276240881403,0.0,0.0,0.0,0.0,0
20050107:1800,0.0,0.0,0.0,0.0,0.0,0
20050107:1900,0.0,0.0,0.0,0.0,0.0,0
20050107:2000,0.0,0.0,0.0,0.0,0.0,0
20050107:2100,0.0,0.0,0.0,0.0,0.0,0
20050107:2200,0.0,0.0,0.0,0.0,0.0,0
20050107:2300,0.0,0.0,0.0,0.0,0.0,0
20050108:0000,0.0,0.0,0.0,0.0,0.0,0
20050108:0100,0.0,0.0,0.0,0.0,0.0,0
20050108:0200,0.0,0.0,0.0,0.0,0.0,0
20050108:0300,0.0,0.0,0.0,0.0,0.0,0
20050108:0400,0.0,0.0,0.0,0.0,0.0,0
20050108:0500,0.0,0.0,0.0,0.0,0.0,0
20050108:0600,0.0,0.0,0.0,0.0,0.0,0
20050108:0700,130.22754687796373,0.0,0.0,0.0,0.0,0
20050108:0800,408.48086277097286,0.0,0.0,0.0,0.0,0
20050108:0900,641.1062707210464,0.0,0.0,0.0,0.0,0
20050108:1000,767.8752809422391,0.0,0.0,0.0,0.0,0
20050108:1100,904.6504421281741,0.0,0.0,0.0,0.0,0
20050108:1200,913.703347975308,0.0,0.0,0.0,0.0,0
20050108:1300,870.3821190524237,0.0,0.0,0.0,0.0,0
20050108:1400,719.5459023126012,0.0,0.0,0.0,0.0,0
20050108:1500,618.1033315014884,0.0,0.0,0.0,0.0,0
20050108:1600,425.36921395946683,0.0,0.0,0.0,0.0,0
20050108:1700,151.5956871347518,0.0,0.0,0.0,0.0,0
20050108:1800,0.0,0.0,0.0,0.0,0.0,0
20050108:1900,0.0,0.0,0.0,0.0,0.0,0
20050108:2000,0.0,0.0,0.0,0.0,0.0,0
20050108:2100,0.0,0.0,0.0,0.0,0.0,0
20050108:2200,0.0,0.0,0.0,0.0,0.0,0
20050108:2300,0.0,0.0,0.0,0.0,0.0,0
20050109:0000,0.0,0.0,0.0,0.0,0.0,0
20050109:0100,0.0,0.0,0.0,0.0,0.0,0
20050109:0200,0.0,0.0,0.0,0.0,0.0,0
20050109:0300,0.0,0.0,0.0,0.0,0.0,0
20050109:0400,0.0,0.0,0.0,0.0,0.0,0
20050109:0500,0.0,0.0,0.0,0.0,0.0,0
20050109:0600,0.0,0.0,0.0,0.0,0.0,0
20050109:0700,122.65486647923984,0.0,0.0,0.0,0.0,0
20050109:0800,349.11045242269086,0.0,0.0,0.0,0.0,0
20050109:0900,590.1722482682325,0.0,0.0,0.0,0.0,0
20050109:1000,727.7757655869334,0.0,0.0,0.0,0.0,0
20050109:1100,809.2184771957164,0.0,0.0,0.0,0.0,0
20050109:1200,921.9539755169276,0.0,0.0,0.0,0.0,0
20050109:1300,856.1286849392123,0.0,0.0,0.0,0.0,0
20050109:1400,671.1865148533483,0.0,0.0,0.0,0.0,0
20050109:1500,571.3525920992399,0.0,0.0,0.0,0.0,0
20050109:1600,395.89266455439247,0.0,0.0,0.0,0.0,0
20050109:1700,140.34445443802025,0.0,0.0,0.0,0.0,0
20050109:1800,0.0,0.0,0.0,0.0,0.0,0
20050109:1900,0.0,0.0,0.0,0.0,0.0,0
20050109:2000,0.0,0.0,0.0,0.0,0.0,0
20050109:2100,0.0,0.0,0.0,0.0,0.0,0
20050109:2200,0.0,0.0,0.0,0.0,0.0,0
20050109:2300,0.0,0.0,0.0,0.0,0.0,0
20050110:0000,0.0,0.0,0.0,0.0,0.0,0
20050110:0100,0.0,0.0,0.0,0.0,0.0,0
20050110:0200,0.0,0.0,0.0,0.0,0.0,0
20050110:0300,0.0,0.0,0.0,0.0,0.0,0
20050110:0400,0.0,0.0,0.0,0.0,0.0,0
20050110:0500,0.0,0.0,0.0,0.0,0.0,0
20050110:0600,0.0,0.0,0.0,0.0,0.0,0
20050110:0700,129.79042064023776,0.0,0.0,0.0,0.0,0
20050110:0800,404.7265622509551,0.0,0.0,0.0,0.0,0
20050110:0900,652.7898306457076,0.0,0.0,0.0,0.0,0
20050110:1000,771.2669562690953,0.0,0.0,0.0,0.0,0
20050110:1100,893.0200343320632,0.0,0.0,0.0,0.0,0
20050110:1200,907.1521160128369,0.0,0.0,0.0,0.0,0
20050110:1300,878.042643390303,0.0,0.0,0.0,0.0,0
20050110:1400,754.4956613691292,0.0,0.0,0.0,0.0,0
20050110:1500,608.3517672021469,0.0,0.0,0.0,0.0,0
20050110:1600,379.76376617018303,0.0,0.0,0.0,0.0,0
20050110:1700,151.04161857685207,0.0,0.0,0.0,0.0,0
20050110:1800,0.0,0.0,0.0,0.0,0.0,0
20050110:1900,0.0,0.0,0.0,0.0,0.0,0
20050110:2000,0.0,0.0,0.0,0.0,0.0,0
20050110:2100,0.0,0.0,0.0,0.0,0.0,0
20050110:2200,0.0,0.0,0.0,0.0,0.0,0
20050110:2300,0.0,0.0,0.0,0.0,0.0,0
20050111:0000,0.0,0.0,0.0,0.0,0.0,0
20050111:0100,0.0,0.0,0.0,0.0,0.0,0
20050111:0200,0.0,0.0,0.0,0.0,0.0,0
20050111:0300,0.0,0.0,0.0,0.0,0.0,0
20050111:0400,0.0,0.0,0.0,0.0,0.0,0
20050111:0500,0.0,0.0,0.0,0.0,0.0,0
20050111:0600,0.0,0.0,0.0,0.0,0.0,0
20050111:0700,102.65507040134476,0.0,0.0,0.0,0.0,0
20050111:0800,317.79594994228734,0.0,0.0,0.0,0.0,0
20050111:0900,609.953202687864,0.0,0.0,0.0,0.0,0
20050111:1000,757.1956941203878,0.0,0.0,0.0,0.0,0
