timestep;demand;pv_radiation;wind_speed;wind_energy
1;41000;0;4.751965;0.145997083
2;41000;0;4.186974;0.0989145
3;41000;0;2.512787;0
4;51000;0;3.066354;0.0055295
5;61000;0;4.411271;0.117605917
6;76000;0;2.052383;0
7;62400;0;4.652888;0.137740667
8;62400;0.01005682;5.76751;0.230625833
9;114100;0.02914982;9.010473;0.50087275
10;118800;0.05872586;9.286233;0.52385275
11;123800;0.005367142;10.5371;0.628091667
12;120800;0.002750626;12.34198;0.778498333
13;115800;0.0624932;10.27548;0.60629
14;116800;0.0568658;8.960733;0.49672775
15;95800;0.01706401;10.86135;0.6551125
16;94800;0.007855223;9.158896;0.513241333
17;91000;0.03147304;9.812866;0.567738833
18;61000;0.01838368;8.363386;0.446948833
19;77500;0.04250583;8.496495;0.45804125
20;99000;0;8.942064;0.495172
21;112000;0;4.990366;0.165863833
22;84000;0;3.558847;0.046570583
23;56000;0;4.028164;0.085680333
24;43000;0;2.433202;0
25;41000;0;2.16327;0
26;41000;0;0.4256254;0
27;41000;0;1.739168;0
28;51000;0;2.85047;0
29;61000;0;2.747727;0
30;76000;0;3.319623;0.02663525
31;62400;0;5.041056;0.170088
32;62400;0.005488783;7.739061;0.39492175
33;114100;0.02037314;8.51459;0.459549167
34;118800;0.06741325;9.609568;0.550797333
35;123800;0.2122582;12.36613;0.780510833
36;120800;0.3882005;10.20429;0.6003575
37;115800;0.4478014;9.197503;0.516458583
38;116800;0.3381493;12.97213;0.831010833
39;95800;0.5064351;12.22507;0.768755833
40;94800;0.2501166;10.25174;0.604311667
41;91000;0.02758543;11.78457;0.7320475
42;61000;0.07202329;9.869247;0.57243725
43;77500;0.04550092;7.28674;0.357228333
44;99000;0;7.185415;0.348784583
45;112000;0;7.461241;0.371770083
46;84000;0;3.995866;0.082988833
47;56000;0;1.742854;0
48;43000;0;2.671963;0
49;41000;0;1.302528;0
50;41000;0;0.1227097;0
51;41000;0;1.698828;0
52;51000;0;2.592269;0
53;61000;0;2.116153;0
54;76000;0;4.59288;0.13274
55;62400;0;4.569228;0.130769
56;62400;0.06360573;4.905088;0.158757333
57;114100;0.1378065;8.161671;0.43013925
58;118800;0.2163312;6.545941;0.295495083
59;123800;0.515066;5.88819;0.2406825
60;120800;0.7915681;4.16116;0.096763333
61;115800;0.92752;4.021982;0.085165167
62;116800;0.8997197;6.681427;0.306785583
63;95800;0.6920834;6.71524;0.309603333
64;94800;0.3956575;4.288968;0.107414
65;91000;0.2674546;2.194882;0
66;61000;0.1113578;1.499383;0
67;77500;0.07184187;3.147018;0.0122515
68;99000;0;1.969006;0
69;112000;0;3.076728;0.006394
70;84000;0;6.63979;0.303315833
71;56000;0;6.263879;0.271989917
72;43000;0;5.200013;0.183334417
73;41000;0;5.848013;0.237334417
74;41000;0;7.541025;0.37841875
75;41000;0;9.871226;0.572602167
76;51000;0;8.319462;0.4432885
77;61000;0;6.405629;0.283802417
78;76000;0;6.30502;0.275418333
79;62400;0;6.203388;0.266949
80;62400;0.007740759;4.000738;0.083394833
81;114100;0.0354326;6.526304;0.293858667
82;118800;0.07640105;10.45149;0.6209575
83;123800;0.05148277;9.075799;0.506316583
84;120800;0.00514733;9.653007;0.55441725
85;115800;0.04786658;9.287391;0.52394925
86;116800;0.1042421;6.51986;0.293321667
87;95800;0.009616185;5.162982;0.1802485
88;94800;0.02389355;5.310312;0.192526
89;91000;0.01605899;6.89524;0.324603333
90;61000;0.0124335;8.795537;0.482961417
91;77500;0.06259633;11.16953;0.680794167
92;99000;0;10.97057;0.664214167
93;112000;0;6.189734;0.265811167
94;84000;0;3.545376;0.045448
95;56000;0;2.844069;0
96;43000;0;4.519627;0.126635583
97;41000;0;3.097016;0.008084667
98;41000;0;1.059259;0
99;41000;0;0.9295188;0
100;51000;0;1.49735;0
101;61000;0;3.67768;0.056473333
102;76000;0;3.256017;0.02133475
103;62400;0;4.900722;0.1583935
104;62400;0.01379197;4.933105;0.161092083
105;114100;0.04055949;5.820311;0.235025917
106;118800;0.04676721;5.843086;0.236923833
107;123800;0.07371823;7.423744;0.368645333
108;120800;0.06618465;8.445812;0.453817667
109;115800;0.1118648;9.079205;0.506600417
110;116800;0.01168165;6.821546;0.318462167
111;95800;0.07203012;7.693034;0.391086167
112;94800;0.08009551;7.86691;0.405575833
113;91000;0.06187164;6.193241;0.266103417
114;61000;0.02562382;8.532003;0.46100025
115;77500;0.05982841;8.893059;0.49108825
116;99000;0;5.932079;0.244339917
117;112000;0;5.704557;0.22537975
118;84000;0;4.350011;0.112500917
119;56000;0;3.599508;0.049959
120;43000;0;5.206561;0.183880083
121;41000;0;3.413266;0.034438833
122;41000;0;3.734133;0.06117775
123;41000;0;5.841372;0.236781
124;51000;0;2.608724;0
125;61000;0;3.265063;0.022088583
126;76000;0;1.356186;0
127;62400;0;2.557464;0
128;62400;0.0334598;2.210904;0
129;114100;0.2760164;2.279874;0
130;118800;0.5765222;2.969261;0
131;123800;0.5964801;2.121175;0
132;120800;0.5749833;1.586061;0
133;115800;0.6272131;1.059067;0
134;116800;0.8167925;4.587393;0.13228275
135;95800;0.6551836;3.047567;0.003963917
136;94800;0.603818;3.907203;0.07560025
137;91000;0.4859763;4.9495;0.162458333
138;61000;0.1412568;7.801059;0.40008825
139;77500;0.02135207;4.810066;0.150838833
140;99000;0;2.708148;0
141;112000;0;2.784322;0
142;84000;0;1.294601;0
143;56000;0;1.959125;0
144;43000;0;1.526027;0
145;41000;0;2.26953;0
146;41000;0;5.124359;0.177029917
147;41000;0;6.692036;0.307669667
148;51000;0;7.781418;0.3984515
149;61000;0;9.274463;0.522871917
150;76000;0;11.68862;0.724051667
151;62400;0;11.80039;0.733365833
152;62400;0.01237925;10.57458;0.631215
153;114100;0.04017752;7.655404;0.387950333
154;118800;0.1655418;5.969846;0.247487167
155;123800;0.4076934;5.612495;0.217707917
156;120800;0.2326092;8.827724;0.485643667
157;115800;0.3965465;11.2534;0.687783333
158;116800;0.3933465;9.816756;0.568063
159;95800;0.4394108;7.198307;0.349858917
160;94800;0.4135485;7.005684;0.333807
